image:FILE,category
train/healthy/healthy_train.98.jpg,0
train/healthy/healthy_train.148.jpg,0
train/healthy/healthy_train.306.jpg,0
train/healthy/healthy_train.305.jpg,0
train/healthy/healthy_train.40.jpg,0
train/healthy/healthy_train.200.jpg,0
train/healthy/healthy_train.295.jpg,0
train/healthy/healthy_train.158.jpg,0
train/healthy/healthy_train.6.jpg,0
train/healthy/healthy_train.73.jpg,0
train/healthy/healthy_train.255.jpg,0
train/healthy/healthy_train.62.jpg,0
train/healthy/healthy_train.293.jpg,0
train/healthy/healthy_train.28.jpg,0
train/healthy/healthy_train.299.jpg,0
train/healthy/healthy_train.220.jpg,0
train/healthy/healthy_train.35.jpg,0
train/healthy/healthy_train.313.jpg,0
train/healthy/healthy_train.215.jpg,0
train/healthy/healthy_train.1.jpg,0
train/healthy/healthy_train.45.jpg,0
train/healthy/healthy_train.328.jpg,0
train/healthy/healthy_train.219.jpg,0
train/healthy/healthy_train.10.jpg,0
train/healthy/healthy_train.207.jpg,0
train/healthy/healthy_train.189.jpg,0
train/healthy/healthy_train.256.jpg,0
train/healthy/healthy_train.122.jpg,0
train/healthy/healthy_train.54.jpg,0
train/healthy/healthy_train.225.jpg,0
train/healthy/healthy_train.39.jpg,0
train/healthy/healthy_train.197.jpg,0
train/healthy/healthy_train.185.jpg,0
train/healthy/healthy_train.320.jpg,0
train/healthy/healthy_train.99.jpg,0
train/healthy/healthy_train.101.jpg,0
train/healthy/healthy_train.270.jpg,0
train/healthy/healthy_train.29.jpg,0
train/healthy/healthy_train.25.jpg,0
train/healthy/healthy_train.36.jpg,0
train/healthy/healthy_train.57.jpg,0
train/healthy/healthy_train.32.jpg,0
train/healthy/healthy_train.87.jpg,0
train/healthy/healthy_train.52.jpg,0
train/healthy/healthy_train.204.jpg,0
train/healthy/healthy_train.145.jpg,0
train/healthy/healthy_train.43.jpg,0
train/healthy/healthy_train.26.jpg,0
train/healthy/healthy_train.333.jpg,0
train/healthy/healthy_train.206.jpg,0
train/healthy/healthy_train.234.jpg,0
train/healthy/healthy_train.150.jpg,0
train/healthy/healthy_train.14.jpg,0
train/healthy/healthy_train.292.jpg,0
train/healthy/healthy_train.247.jpg,0
train/healthy/healthy_train.325.jpg,0
train/healthy/healthy_train.37.jpg,0
train/healthy/healthy_train.271.jpg,0
train/healthy/healthy_train.277.jpg,0
train/healthy/healthy_train.44.jpg,0
train/healthy/healthy_train.273.jpg,0
train/healthy/healthy_train.239.jpg,0
